先,肌肉,痠痛,、,咳嗽,再,發燒,！,台灣,醫界,公布,：,吸,菸,者,感染,，,症狀,較,嚴重,！
新冠,肺炎,蔓延,…,日本,淪陷,！,吳淡,如,曝,「,東京,驚人,現況,」
首批,包機,台商,監測期,滿,！,「,18,日,早上,6,點,」,解除,隔離,　,143,位遊覽車,接回
凱旋,重機,要,推,「,250cc,入門級,輕,檔車,」,？,聯手,印度,車廠,拓展,版圖
第一,顆鑽寵,自己,　,De, ,Beers,秀氣,設計,討喜
「,杜拜,，,我們,來,了,！,」,高雄,農產蜜,棗,、,珍珠,芭樂,成功,進軍中東
快訊,／,日本,愛知,縣,再,增,1,例,！,夏威夷,返國,夫妻,友人,發燒,　,確診,也,感染
LULU,洩腿根,踩場,A,-,Lin,...,圓夢攻,蛋,「,大膽,一句,話,」,爆嗆,天團,！
新冠,肺炎,確診,20,例,、,1,死亡,！,累計,通報,1834,人,、,128,人還,在,居家,隔離
鑽石,公主,號台灣,父子,確診,　,指揮,中心,：,由,日本,安排,到,醫院,好好,治療
擴大,篩檢,！,　,指揮,中心,曝,「,3,對象,」,納入,監測,名單,...,結果,公布,前須,在家
確診,2,例社區,感染,！,陳,時,中,：,疫調,結果,風險,高,「,不,排除,公布,活動,地點,」
啟動,2020,年度,擴大防,搶,安全,演練,　,新北,農漁會,讓,民眾,好,安心
《,金牌,救援,》,太熱血網,敲,碗,第,2,季,　,SBS,「,洩,端倪,」,回應,了,！
桃園,少年,搭小黃,遺失,錢,包超,慌,　,警調,10,餘支,監視器,2,小時,找回
台灣,確診,2,名,「,無,旅遊史,」,個案,　,指揮,官陳時,中,：,屬,於,社區,感染
威士,特丹號,2,/,4,停,高雄港,！,指揮,中心,掌握,215,名接,觸者,...,下船,地點,曝光
A,-,Lin,放送,1,萬支,螢光,棒,「,最,終場,才,有,」,...,主辦,單位親,曝無奈,真相,！
HBL,／,新冠,肺炎,疫情,威脅,仍,在,　,決賽,不,排除,延期
60,多歲,「,白牌,計程車,司機,」,確診,新冠,肺炎,！,　,指揮,中心,：,都,載,中,港澳,遊客
首例,死亡,61,歲,男,「,罹患,B,肝,、,糖尿病,」,無,旅遊史,　,初診,判定,為,肺炎
首例,死亡,！,新冠,肺炎,新增,2,例,本土,個案,　,61,歲,患者,不,治
LIVE,／,明,起,「,回台,14,天發燒,、,呼吸道,症狀,」,全篩檢,　,指揮,中心,最新,說明
把,海景,跟,城市,搬,上頭,頂,　,紙雕,藝術家,的,巴洛克式,假,髮
小資女,必朝聖,！,日本,飾品,店,15,分鐘,打造,客,製,化,戒指,、,價格超,佛心
中職,／,提前,開機,！,春訓,狀況,佳,　,陳,家駒,把握,每次,表現,機會
指控,華為,是,「,特洛伊,木馬,」,　,美國,防部,長,：,全球,要,警惕,中國,的,挑戰
黃,渤手,繪,醫療,人員畫,像,！,　,致敬,「,最美,臉龐,」,感動網,：,最,善良,的,心
他列,8,理由,「,台灣,防疫,優,於,日本,」,　,4,劣勢,神逆轉,...,網笑,推爆,：,竟無法,反駁
台東縣,特種,搜救,隊,整裝,參訓,5,天,　,搜救,能力,再躍進
難,在,開學前,返校,…,南韓,教育部,：,積極,勸導,陸生,休學,1,學期
她,想,點餐,遭,男子,吼,「,我,先來,的,」,！,凶狠,哥下,秒,吐,一句,荒謬,炸,　,網笑,倒,：,他,完,了
受困,鑽石,公主,號,「,父親,咳血,」,！,台,男,求救,蔡,英文,…,2,人,都,確診,新冠,肺炎
厄文喊,話,籃網,需要,第,3,球星,　,汀,威迪,擔心,自己,被,賣,掉
CP,值爆,！,台北,燒烤,只要,466,元起,　,超狂,比,臉大特厚,牛排,、,新鮮生,蠔,直接,吃,到,飽
棉褲,手,一,抓,「,超大,兇器,」,浮現,！,189cm,天菜,男神,笑認,「,有塞東西,」
斗笠,加塑,膠袋,！,她,花,90,元,做,「,女俠裝,」,...,專家,打臉,：,病毒,污染,全身,機率,不大
嚴防,二次,疫情,傳播,　,杭州,霸氣,包,「,3,百人,復,工專列,」
中職,／,知道,台灣,聯盟,很強,！,最,高薪,米蘭達,：,呈現,最好,一面
陸藥廠,再,仿,製,抗病毒,藥,「,法匹拉韋,」,　,已,批准,上市,進行,治療,中
受,疫情,影響,　,桃園,台南,同鄉,會,多年,新春,團拜,活動,首度,取消
買到,「,進擊,的,茶,葉蛋,」,一剝,她,超驚訝,！,以為,蛋,被,家暴,…,網笑,翻,：,是,請,阿婆,指導,嗎
背後偷襲,女友,！,他,大力,啪,下去,「,驚覺,觸感,不,對,」,…,下,秒,慘了
退休,高官,確診,「,嫌,醫院,破,」,　,死,不,隔,離,趴,趴,走,10,天,「,有個,人房,才,願,住院,」
獨,／,館長,直播,霸氣,喊,「,你,X,媽,」,宣戰,　,健身,工廠,9,天,2,次,提告,內容,曝光,　,　
復,工,後,首例,！,廣州,商業,大樓,職員,確診,　,「,全,公司,隔離,」,停止,上班
免去,健身房,！,3,款,「,居家,運動,APP,」,短時間,燃脂,、,新手,也,能,跟,著,做
最高,紀錄,「,1,年,只,洗,1,次,」,！,妻,洗澡,要花,6hrs,…,他忍,14,年,崩潰,：,噁,臭,黑癬,堵住,排水,孔
武漢,午後飄雪,「,斷崖式,降溫,」,！,　,感染,科醫生,：,不利,於,對,抗病毒
寒流,猛襲,全台,急速,降溫,中,！,「,爆冷,6,°,C,」,時間點,曝,　,一路,凍到,周三
萌,翻天,「,5,隻,發光,皮卡丘,」,現身,南港,！,台北,燈節,到,今晚,11,點
小姐,弟雙亡,...,單親媽,1,月底,拿,處方,箋領,200,多,顆藥,　,社會局,2,/,13,曾,派,人,探視
他,好奇,宮廟,資金來源,？,　,網揭,背,後,「,龐大,利益,牽扯,」,：,是,你,心甘,情願,捐
頒獎,典禮,全場,狂,爆粗,口,...,何超,儀見證,嗨,喊,：,超瘋狂,！
出生,55,天確診,！,貴州,男,嬰治好,了,...,成大陸,最小,痊,癒,患者
台灣,真人版,《,愛的,迫降,》,！,北,韓選手,為,台,女,脫北,　,結局,彩蛋,超驚喜
癌末,牛仔,見,20,年馬夥伴,最,後,一面,　,圓夢隔,天安,詳離世
中職,／,索沙,、,羅,力,宰制,聯盟,！,艾迪,頓跑勤,一點,：,找,同等,級洋將
日,研發,「,鴕鳥,口罩,」,傳可,抗病毒,　,熱銷,超過,1,億個,！
她,把,商辦,大樓,公用,酒精,整罐,拿走,！,進電梯,還照,鏡子,　,網酸,：,心比,較,髒
愛爾麗,醫療,集團,捐,100,套防護,衣給,移民,官,　,助國境,第一,線,防疫
羅,馬,尼亞,醫護人,「,全副,武裝,抬,疑似,病患,」,　,下秒慘,摔,「,擔架,掉,地上,」,同事,嚇到,彈開,！
「,病毒,可透,過眼,結膜,傳染,」,　,陸醫生,自爆,病情,「,引發,恐慌, , ,」
心目,中,的,國民黨,主席,人選,？,盧秀燕,：,在,地,合作,是,考量,之一
中職,／,大頭兵,魏碩成,歸隊,！,放慢,腳步,二軍出,發向,王建民,學習
香港,54,歲,男,「,就醫,6,次,」,才,確診,！,無,旅行,史,「,燒燒,退退,」,煎熬,一周
每試,必來,！,奴才,一招,秒,召喚,愛貓,　,網友,見,水杯,驚呼,：,這樣,也,行,？
入口,即,化,！,台南人,氣排,隊,美食,　,必點,隱藏菜,單炙繞,鮭魚
日本,防疫,破功,！,網友,炸怒,…,安倍,支持,度,跌,至,41,％,　,「,內閣,總辭,」,登熱,搜
吃,得到,整,隻,蝦,！,台北人,氣排,隊,小吃,　,必點,香辣,紅油,扁食,超過,癮
中壢,吃貨,都,在,打卡,的,10,間,美食,　,炸雞車,輪餅,、,酸辣,海鮮,媽媽,麵,超過,癮
空氣,清淨,機過,濾,病毒,　,陸疾控,專家,這樣,回答
夜市,外帶,蚵,仔,麵,...,回家,打開,一看,「,抽剩,菸,頭湯裡,浮沉,」,　,網,傻眼,：,上面,還裹,粉,...
影,／,開學,日北市,28,萬學生,上線,　,柯文,哲,：,將討論,班級,上,課,是否,戴,口罩
